2021/04/28 15:50:07 Micro started
2021/04/28 15:51:01 Cleared cursors: 1
2021/04/28 15:51:08 Cleared cursors: 1
2021/04/28 15:51:22 Cleared cursors: 1
2021/04/28 15:53:24 Cleared cursors: 1
2021/04/28 15:53:26 Cleared cursors: 1
2021/04/28 15:53:34 Cleared cursors: 1
2021/04/28 15:58:25 Cleared cursors: 1
2021/04/28 16:00:39 Cleared cursors: 1
2021/04/28 16:03:41 Cleared cursors: 1
2021/04/28 16:03:57 Cleared cursors: 1
2021/04/28 16:30:40 Cleared cursors: 1
2021/04/28 16:45:26 Cleared cursors: 1
